parameter file: TGEN_cleaned6.par
### THE INPUT PARAMETERS
##PARAMETER NAME: VALUE
genotypename: /projectnb/bs859/students/tshah20/hw_02/TGEN_cleaned6.bed
snpname: /projectnb/bs859/students/tshah20/hw_02/TGEN_cleaned6.bim
indivname: /projectnb/bs859/students/tshah20/hw_02/TGEN_cleaned6.fam
evecoutname: TGEN_cleaned6_PCA.evec
evaloutname: TGEN_cleaned6_PCA.eval
altnormstyle: NO
numoutevec: 10
numoutlieriter: 0
## smartpca version: 16000
norm used

genetic distance set from physical distance
 511      1.030332   -0.000237   -27.875            1 65696.916
 512      1.029946   -0.000386   -27.815            1 65748.471
 513      1.029713   -0.000234   -27.637            1 65800.299
 514      1.028863   -0.000850   -27.934            1 65852.889
 515      1.028295   -0.000568   -28.014            1 65904.273
 516      1.027792   -0.000504   -28.047            1 65955.341
 517      1.027515   -0.000277   -27.904            1 66006.297
 518      1.026977   -0.000537   -27.962            1 66057.870
 519      1.026471   -0.000507   -27.997            1 66109.222
 520      1.026032   -0.000439   -27.980            1 66160.447
 521      1.025171   -0.000861   -28.289            1 66211.765
 522      1.025086   -0.000085   -27.999            1 66261.795
 523      1.024596   -0.000490   -28.022            1 66313.067
 524      1.024146   -0.000450   -28.015            1 66364.261
 525      1.024070   -0.000075   -27.717            1 66415.505
 526      1.023680   -0.000391   -27.661            1 66468.047
 527      1.023067   -0.000613   -27.778            1 66520.850
 528      1.022191   -0.000876   -28.100            1 66573.172
 529      1.021930   -0.000261   -27.947            1 66624.123
 530      1.021863   -0.000067   -27.642            1 66675.753
 531      1.021222   -0.000640   -27.781            1 66728.728
 532      1.020574   -0.000648   -27.927            1 66781.117
 533      1.019845   -0.000729   -28.138            1 66832.887
 534      1.019147   -0.000698   -28.326            1 66883.752
 535      1.018827   -0.000320   -28.221            1 66933.805
 536      1.018764   -0.000063   -27.914            1 66984.332
 537      1.018565   -0.000199   -27.711            1 67036.224
 538      1.018023   -0.000542   -27.775            1 67089.031
 539      1.017601   -0.000422   -27.747            1 67141.571
 540      1.016877   -0.000724   -27.954            1 67194.258
 541      1.016260   -0.000617   -28.080            1 67246.033
 542      1.016035   -0.000224   -27.899            1 67297.260
 543      1.015505   -0.000531   -27.957            1 67349.313
 544      1.015063   -0.000441   -27.945            1 67401.118
 545      1.014721   -0.000342   -27.856            1 67452.989
 546      1.014130   -0.000591   -27.961            1 67505.280
 547      1.013827   -0.000303   -27.841            1 67557.103
 548      1.013501   -0.000326   -27.739            1 67609.485
 549      1.013133   -0.000368   -27.669            1 67662.350
 550      1.012394   -0.000739   -27.891            1 67715.549
 551      1.011653   -0.000741   -28.116            1 67767.744
 552      1.011210   -0.000444   -28.108            1 67818.915
 553      1.010877   -0.000333   -28.013            1 67870.129
 554      1.010725   -0.000152   -27.776            1 67921.787
 555      1.010070   -0.000655   -27.933            1 67974.560
 556      1.009824   -0.000245   -27.769            1 68026.609
 557      1.009254   -0.000570   -27.860            1 68079.437
 558      1.008812   -0.000443   -27.851            1 68131.850
 559      1.008508   -0.000304   -27.732            1 68184.315
 560      1.008079   -0.000429   -27.712            1 68237.349
 561      1.007524   -0.000556   -27.791            1 68290.492
 562      1.007151   -0.000373   -27.728            1 68343.265
 563      1.006470   -0.000681   -27.907            1 68396.352
 564      1.006302   -0.000168   -27.682            1 68448.590
 565      1.005924   -0.000378   -27.622            1 68501.914
 566      1.005613   -0.000312   -27.509            1 68555.538
 567      1.004877   -0.000735   -27.731            1 68609.719
 568      1.004598   -0.000279   -27.593            1 68662.834
 569      1.004072   -0.000526   -27.651            1 68716.626
 570      1.003394   -0.000678   -27.830            1 68770.148
 571      1.003364   -0.000030   -27.494            1 68822.805
 572      1.003209   -0.000155   -27.257            1 68877.108
 573      1.002260   -0.000949   -27.649            1 68932.591
 574      1.001533   -0.000727   -27.868            1 68986.152
 575      1.001275   -0.000259   -27.715            1 69038.639
 576      1.000861   -0.000414   -27.685            1 69091.884
 577      1.000358   -0.000503   -27.727            1 69145.283
 578      1.000204   -0.000154   -27.490            1 69198.480
 579      0.999577   -0.000627   -27.630            1 69252.862
 580      0.999242   -0.000334   -27.536            1 69306.553
 581      0.998544   -0.000698   -27.733            1 69360.717
 582      0.998411   -0.000133   -27.480            1 69413.893
 583      0.997983   -0.000428   -27.461            1 69468.353
 584      0.997530   -0.000453   -27.462            1 69522.914
 585      0.997337   -0.000193   -27.255            1 69577.476
 586      0.996551   -0.000786   -27.522            1 69633.101
 587      0.996002   -0.000549   -27.601            1 69687.366
 588      0.995868   -0.000134   -27.348            1 69741.227
 589      0.995267   -0.000600   -27.468            1 69796.393
 590      0.994966   -0.000302   -27.349            1 69850.945
 591      0.994793   -0.000173   -27.125            1 69906.119
 592      0.993956   -0.000837   -27.434            1 69962.464
 593      0.993638   -0.000318   -27.328            1 70017.202
 594      0.993518   -0.000120   -27.062            1 70072.496
 595      0.992382   -0.001136   -27.613            1 70129.194
 596      0.992200   -0.000181   -27.398            1 70182.997
 597      0.991410   -0.000790   -27.673            1 70237.931
 598      0.990937   -0.000473   -27.694            1 70291.409
 599      0.990806   -0.000131   -27.439            1 70344.769
 600      0.990593   -0.000213   -27.249            1 70399.478
 601      0.990126   -0.000467   -27.263            1 70455.202
 602      0.989949   -0.000177   -27.044            1 70510.851
 603      0.989347   -0.000602   -27.166            1 70567.688
 604      0.988970   -0.000377   -27.107            1 70623.868
 605      0.988505   -0.000465   -27.119            1 70680.369
 606      0.987971   -0.000534   -27.187            1 70736.808
 607      0.987400   -0.000571   -27.286            1 70792.873
 608      0.986971   -0.000429   -27.271            1 70848.396
 609      0.986650   -0.000321   -27.168            1 70904.001
 610      0.986094   -0.000556   -27.255            1 70960.169
 611      0.985803   -0.000291   -27.128            1 71015.853
 612      0.985138   -0.000665   -27.304            1 71072.236
 613      0.985022   -0.000117   -27.036            1 71127.639
 614      0.984726   -0.000295   -26.911            1 71184.533
 615      0.984576   -0.000150   -26.667            1 71242.125
 616      0.983720   -0.000856   -26.997            1 71301.091
 617      0.983366   -0.000354   -26.920            1 71358.200
 618      0.983025   -0.000341   -26.832            1 71415.740
 619      0.982592   -0.000433   -26.819            1 71473.779
 620      0.982265   -0.000327   -26.719            1 71531.894
 621      0.981521   -0.000744   -26.959            1 71590.581
 622      0.981166   -0.000356   -26.884            1 71647.892
 623      0.980695   -0.000471   -26.903            1 71705.631
 624      0.979964   -0.000730   -27.134            1 71763.258
 625      0.979845   -0.000119   -26.867            1 71819.543
 626      0.979479   -0.000366   -26.801            1 71877.366
 627      0.979046   -0.000433   -26.788            1 71935.573
 628      0.978110   -0.000937   -27.189            1 71993.848
 629      0.977822   -0.000287   -27.060            1 72049.772
 630      0.977545   -0.000277   -26.923            1 72106.436
 631      0.977225   -0.000320   -26.819            1 72163.898
 632      0.976804   -0.000420   -26.798            1 72221.963
 633      0.976097   -0.000708   -27.012            1 72280.148
 634      0.975643   -0.000453   -27.019            1 72337.048
 635      0.974811   -0.000833   -27.339            1 72393.892
 636      0.974493   -0.000318   -27.237            1 72448.812
 637      0.974417   -0.000076   -26.936            1 72504.318
 638      0.974017   -0.000400   -26.899            1 72561.614
 639      0.973630   -0.000387   -26.852            1 72619.117
 640      0.973493   -0.000137   -26.598            1 72676.895
 641      0.973121   -0.000371   -26.536            1 72736.205
 642      0.972831   -0.000291   -26.407            1 72795.886
 643      0.972314   -0.000517   -26.464            1 72856.354
 644      0.971762   -0.000552   -26.551            1 72916.464
 645      0.971328   -0.000434   -26.540            1 72976.032
 646      0.970908   -0.000420   -26.519            1 73035.653
 647      0.970611   -0.000297   -26.396            1 73095.397
 648      0.969748   -0.000863   -26.740            1 73155.902
 649      0.969690   -0.000058   -26.421            1 73214.238
 650      0.969176   -0.000514   -26.477            1 73274.564
 651      0.968843   -0.000333   -26.384            1 73334.524
 652      0.968617   -0.000226   -26.201            1 73395.063
 653      0.967872   -0.000745   -26.448            1 73456.753
 654      0.967366   -0.000506   -26.499            1 73516.859
 655      0.966961   -0.000405   -26.466            1 73576.625
 656      0.966599   -0.000362   -26.397            1 73636.588
 657      0.966459   -0.000141   -26.144            1 73696.976
 658      0.965877   -0.000582   -26.257            1 73758.987
 659      0.965534   -0.000343   -26.171            1 73820.259
 660      0.964674   -0.000860   -26.516            1 73882.075
 661      0.964227   -0.000447   -26.519            1 73941.628
 662      0.963875   -0.000352   -26.443            1 74001.136
 663      0.963564   -0.000311   -26.333            1 74061.118
 664      0.962915   -0.000649   -26.504            1 74121.808
 665      0.962587   -0.000328   -26.409            1 74181.344
 666      0.962200   -0.000387   -26.362            1 74241.488
 667      0.961913   -0.000287   -26.232            1 74301.919
 668      0.960945   -0.000968   -26.670            1 74363.199
 669      0.960796   -0.000149   -26.426            1 74421.522
 670      0.960652   -0.000144   -26.177            1 74481.447
 671      0.960204   -0.000448   -26.180            1 74543.030
 672      0.959688   -0.000516   -26.241            1 74604.570
 673      0.958931   -0.000757   -26.505            1 74665.673
 674      0.958774   -0.000156   -26.266            1 74724.952
 675      0.958298   -0.000476   -26.295            1 74785.829
 676      0.957835   -0.000463   -26.313            1 74846.481
 677      0.957606   -0.000230   -26.135            1 74906.981
 678      0.957019   -0.000587   -26.256            1 74968.683
 679      0.956684   -0.000335   -26.166            1 75029.516
 680      0.956504   -0.000180   -25.945            1 75090.943
 681      0.956009   -0.000495   -25.989            1 75153.888
 682      0.955947   -0.000062   -25.668            1 75216.504
 683      0.955617   -0.000330   -25.570            1 75281.365
 684      0.955106   -0.000511   -25.624            1 75346.902
 685      0.954512   -0.000594   -25.750            1 75412.037
 686      0.953480   -0.001032   -26.246            1 75476.258
 687      0.953244   -0.000236   -26.074            1 75536.903
 688      0.952884   -0.000360   -26.005            1 75598.743
 689      0.952560   -0.000324   -25.906            1 75661.042
 690      0.952035   -0.000525   -25.976            1 75724.028
 691      0.951880   -0.000155   -25.733            1 75786.471
 692      0.951452   -0.000428   -25.720            1 75850.649
 693      0.950600   -0.000852   -26.067            1 75914.893
 694      0.950179   -0.000421   -26.051            1 75976.566
 695      0.949808   -0.000370   -25.992            1 76038.315
 696      0.949324   -0.000485   -26.030            1 76100.456
 697      0.949031   -0.000293   -25.905            1 76162.275
 698      0.948463   -0.000568   -26.014            1 76224.976
 699      0.948258   -0.000204   -25.814            1 76286.828
 700      0.947861   -0.000397   -25.777            1 76350.130
 701      0.947589   -0.000272   -25.633            1 76413.672
 702      0.947331   -0.000257   -25.476            1 76478.260
 703      0.946844   -0.000488   -25.514            1 76544.005
 704      0.945912   -0.000931   -25.930            1 76609.431
 705      0.945520   -0.000392   -25.890            1 76671.642
 706      0.945461   -0.000059   -25.567            1 76734.108
 707      0.945118   -0.000343   -25.482            1 76799.015
 708      0.944596   -0.000523   -25.551            1 76864.537
 709      0.944460   -0.000136   -25.290            1 76929.485
 710      0.944124   -0.000335   -25.198            1 76996.427
 711      0.943832   -0.000293   -25.068            1 77064.061
 712      0.943015   -0.000816   -25.386            1 77132.684
 713      0.942775   -0.000240   -25.213            1 77198.768
 714      0.942276   -0.000499   -25.261            1 77266.178
 715      0.941446   -0.000829   -25.592            1 77333.173
 716      0.941106   -0.000340   -25.507            1 77397.488
 717      0.940940   -0.000167   -25.273            1 77462.432
 718      0.940626   -0.000313   -25.163            1 77529.207
 719      0.940357   -0.000269   -25.014            1 77596.830
 720      0.939501   -0.000856   -25.368            1 77665.621
 721      0.939185   -0.000316   -25.261            1 77731.495
 722      0.938772   -0.000413   -25.237            1 77798.189
 723      0.938175   -0.000597   -25.370            1 77865.033
 724      0.937682   -0.000494   -25.417            1 77930.731
 725      0.937217   -0.000464   -25.438            1 77995.992
 726      0.936953   -0.000265   -25.289            1 78061.016
 727      0.936862   -0.000091   -24.988            1 78127.224
 728      0.936446   -0.000416   -24.965            1 78195.889
 729      0.935924   -0.000522   -25.034            1 78264.701
 730      0.935315   -0.000609   -25.178            1 78332.888
 731      0.934890   -0.000425   -25.165            1 78399.805
 732      0.934476   -0.000415   -25.143            1 78466.778
 733      0.934315   -0.000161   -24.902            1 78533.876
 734      0.933635   -0.000680   -25.108            1 78602.977
 735      0.933237   -0.000397   -25.071            1 78670.260
 736      0.933132   -0.000106   -24.782            1 78737.799
 737      0.932463   -0.000669   -24.978            1 78807.781
 738      0.932281   -0.000182   -24.754            1 78876.005
 739      0.931622   -0.000659   -24.941            1 78946.128
 740      0.931076   -0.000547   -25.034            1 79014.554
 741      0.930866   -0.000210   -24.835            1 79082.108
 742      0.930176   -0.000689   -25.050            1 79151.349
 743      0.930027   -0.000149   -24.799            1 79218.620
 744      0.929849   -0.000178   -24.571            1 79288.052
 745      0.928850   -0.000999   -25.055            1 79359.464
 746      0.928605   -0.000245   -24.887            1 79426.484
 747      0.928325   -0.000279   -24.748            1 79494.935
 748      0.927772   -0.000554   -24.846            1 79564.573
 749      0.927624   -0.000147   -24.592            1 79633.250
 750      0.927419   -0.000205   -24.386            1 79704.173
 751      0.926322   -0.001097   -24.956            1 79776.922
 752      0.925922   -0.000401   -24.924            1 79844.378
 753      0.925670   -0.000252   -24.762            1 79912.045
 754      0.925231   -0.000439   -24.762            1 79981.128
 755      0.925045   -0.000186   -24.541            1 80050.133
 756      0.924797   -0.000248   -24.373            1 80121.120
 757      0.923991   -0.000806   -24.691            1 80193.617
 758      0.923794   -0.000196   -24.479            1 80263.052
 759      0.923580   -0.000215   -24.281            1 80334.409
 760      0.923186   -0.000394   -24.239            1 80407.573
 761      0.923015   -0.000171   -24.001            1 80481.078
 762      0.922409   -0.000606   -24.142            1 80556.803
 763      0.922200   -0.000209   -23.937            1 80631.105
 764      0.921914   -0.000285   -23.797            1 80707.331
 765      0.921635   -0.000279   -23.651            1 80784.863
 766      0.920816   -0.000819   -23.978            1 80863.779
 767      0.920486   -0.000330   -23.878            1 80939.428
 768      0.919756   -0.000731   -24.130            1 81016.002
 769      0.919541   -0.000215   -23.930            1 81090.021
 770      0.918938   -0.000603   -24.071            1 81165.950
 771      0.918771   -0.000167   -23.829            1 81240.408
 772      0.918184   -0.000587   -23.955            1 81317.214
 773      0.918050   -0.000134   -23.683            1 81392.683
 774      0.917215   -0.000835   -24.027            1 81470.829
 775      0.916812   -0.000403   -23.993            1 81545.418
 776      0.916039   -0.000773   -24.286            1 81620.268
 777      0.915736   -0.000303   -24.166            1 81692.047
 778      0.915525   -0.000211   -23.965            1 81764.949
 779      0.914923   -0.000602   -24.107            1 81839.833
 780      0.914830   -0.000093   -23.800            1 81913.161
 781      0.914557   -0.000274   -23.651            1 81989.580
 782      0.913720   -0.000837   -23.999            1 82067.476
 783      0.913541   -0.000178   -23.767            1 82141.636
 784      0.912940   -0.000602   -23.909            1 82218.140
 785      0.912642   -0.000298   -23.783            1 82293.056
 786      0.912498   -0.000144   -23.519            1 82369.214
 787      0.912048   -0.000450   -23.524            1 82448.102
 788      0.911473   -0.000575   -23.641            1 82526.850
 789      0.911244   -0.000228   -23.451            1 82604.251
 790      0.910710   -0.000534   -23.532            1 82683.618
 791      0.910314   -0.000396   -23.490            1 82762.024
 792      0.909940   -0.000374   -23.429            1 82840.791
 793      0.909433   -0.000507   -23.485            1 82920.139
 794      0.909281   -0.000152   -23.227            1 82998.772
 795      0.908936   -0.000345   -23.138            1 83080.178
 796      0.908784   -0.000152   -22.876            1 83162.496
 797      0.908452   -0.000331   -22.772            1 83247.674
 798      0.907806   -0.000646   -22.948            1 83333.962
 799      0.907080   -0.000726   -23.198            1 83418.184
 800      0.906925   -0.000155   -22.940            1 83499.492
 801      0.906417   -0.000507   -22.994            1 83583.657
 802      0.905802   -0.000616   -23.147            1 83667.115
 803      0.905386   -0.000416   -23.122            1 83748.730
 804      0.905016   -0.000370   -23.055            1 83830.535
 805      0.904485   -0.000531   -23.133            1 83913.013
 806      0.903827   -0.000658   -23.326            1 83994.488
 807      0.903683   -0.000143   -23.059            1 84073.603
 808      0.903474   -0.000210   -22.848            1 84155.737
 809      0.903121   -0.000353   -22.765            1 84240.252
 810      0.902350   -0.000771   -23.057            1 84325.665
 811      0.902267   -0.000083   -22.734            1 84407.496
 812      0.901734   -0.000532   -22.812            1 84493.093
 813      0.901350   -0.000385   -22.757            1 84577.656
 814      0.901216   -0.000133   -22.476            1 84662.774
 815      0.900970   -0.000246   -22.294            1 84751.218
 816      0.900142   -0.000828   -22.636            1 84841.811
 817      0.899759   -0.000383   -22.579            1 84928.118
 818      0.899395   -0.000364   -22.505            1 85015.019
 819      0.899015   -0.000380   -22.444            1 85102.743
 820      0.898593   -0.000422   -22.422            1 85191.123
 821      0.898090   -0.000503   -22.472            1 85279.690
 822      0.897570   -0.000520   -22.539            1 85367.525
 823      0.897218   -0.000353   -22.455            1 85454.406
 824      0.896895   -0.000322   -22.343            1 85542.242
 825      0.896264   -0.000631   -22.510            1 85631.400
 826      0.896022   -0.000242   -22.326            1 85718.309
 827      0.895678   -0.000343   -22.232            1 85807.468
 828      0.895246   -0.000432   -22.218            1 85897.737
 829      0.895086   -0.000160   -21.957            1 85988.079
 830      0.894711   -0.000374   -21.889            1 86081.735
 831      0.894067   -0.000645   -22.065            1 86176.208
 832      0.893942   -0.000125   -21.771            1 86268.246
 833      0.893423   -0.000519   -21.833            1 86364.103
 834      0.892887   -0.000536   -21.910            1 86459.047
 835      0.892395   -0.000492   -21.949            1 86552.846
 836      0.891811   -0.000585   -22.073            1 86646.016
 837      0.891447   -0.000364   -21.997            1 86737.390
 838      0.891026   -0.000421   -21.973            1 86829.672
 839      0.890927   -0.000098   -21.654            1 86922.165
 840      0.890290   -0.000637   -21.824            1 87018.939
 841      0.889882   -0.000408   -21.787            1 87113.250
 842      0.889385   -0.000497   -21.832            1 87207.956
 843      0.888857   -0.000528   -21.904            1 87301.926
 844      0.888473   -0.000384   -21.847            1 87394.743
 845      0.887775   -0.000698   -22.076            1 87488.242
 846      0.887666   -0.000110   -21.769            1 87578.356
 847      0.887452   -0.000214   -21.554            1 87672.691
 848      0.887087   -0.000365   -21.476            1 87769.972
 849      0.886662   -0.000425   -21.452            1 87868.265
 850      0.886119   -0.000543   -21.537            1 87966.790
 851      0.885694   -0.000425   -21.515            1 88063.948
 852      0.885314   -0.000380   -21.451            1 88161.303
 853      0.884967   -0.000347   -21.356            1 88259.468
 854      0.884060   -0.000907   -21.776            1 88358.907
 855      0.883919   -0.000141   -21.495            1 88451.968
 856      0.883687   -0.000232   -21.295            1 88549.062
 857      0.883292   -0.000396   -21.244            1 88649.022
 858      0.882561   -0.000731   -21.503            1 88749.620
 859      0.882259   -0.000301   -21.367            1 88846.150
 860      0.881895   -0.000364   -21.289            1 88944.592
 861      0.881316   -0.000579   -21.408            1 89044.086
 862      0.880772   -0.000544   -21.497            1 89141.587
 863      0.880418   -0.000354   -21.411            1 89237.549
 864      0.879984   -0.000434   -21.398            1 89334.673
 865      0.879729   -0.000255   -21.220            1 89431.817
 866      0.879684   -0.000045   -20.845            1 89531.596
 867      0.879358   -0.000326   -20.727            1 89637.173
 868      0.878823   -0.000534   -20.801            1 89744.514
 869      0.878282   -0.000542   -20.883            1 89850.535
 870      0.877941   -0.000341   -20.779            1 89955.095
 871      0.877691   -0.000251   -20.591            1 90061.192
 872      0.877388   -0.000303   -20.449            1 90170.233
 873      0.876801   -0.000587   -20.571            1 90281.487
 874      0.876372   -0.000429   -20.546            1 90390.604
 875      0.876048   -0.000324   -20.425            1 90499.992
 876      0.875374   -0.000674   -20.628            1 90611.282
 877      0.874910   -0.000464   -20.638            1 90719.022
 878      0.874550   -0.000360   -20.551            1 90826.433
 879      0.874107   -0.000443   -20.541            1 90935.157
 880      0.873656   -0.000451   -20.539            1 91043.896
 881      0.873332   -0.000324   -20.418            1 91152.510
 882      0.873058   -0.000274   -20.249            1 91263.060
 883      0.872287   -0.000771   -20.543            1 91376.405
 884      0.872104   -0.000183   -20.291            1 91484.445
 885      0.871861   -0.000243   -20.092            1 91596.741
 886      0.871535   -0.000326   -19.969            1 91712.414
 887      0.870849   -0.000687   -20.183            1 91830.153
 888      0.870701   -0.000148   -19.894            1 91943.912
 889      0.870317   -0.000384   -19.823            1 92062.735
 890      0.869716   -0.000601   -19.956            1 92182.717
 891      0.869150   -0.000566   -20.058            1 92300.130
 892      0.868368   -0.000782   -20.365            1 92415.519
 893      0.867936   -0.000433   -20.346            1 92525.089
 894      0.867604   -0.000332   -20.233            1 92634.788
 895      0.867207   -0.000397   -20.180            1 92746.381
 896      0.866795   -0.000412   -20.140            1 92858.760
 897      0.866469   -0.000326   -20.020            1 92971.677
 898      0.866087   -0.000382   -19.951            1 93086.669
 899      0.865584   -0.000503   -19.996            1 93202.782
 900      0.865230   -0.000354   -19.900            1 93317.834
 901      0.864825   -0.000405   -19.852            1 93434.522
 902      0.864501   -0.000324   -19.727            1 93551.940
 903      0.864169   -0.000332   -19.609            1 93671.609
 904      0.863645   -0.000524   -19.671            1 93793.421
 905      0.863385   -0.000260   -19.484            1 93913.810
 906      0.863027   -0.000358   -19.387            1 94037.746
 907      0.862480   -0.000547   -19.470            1 94163.445
 908      0.862145   -0.000335   -19.351            1 94287.311
 909      0.861367   -0.000778   -19.653            1 94413.399
 910      0.860829   -0.000538   -19.731            1 94533.126
 911      0.860184   -0.000646   -19.912            1 94651.033
 912      0.859801   -0.000383   -19.846            1 94764.951
 913      0.859382   -0.000419   -19.813            1 94879.959
 914      0.858898   -0.000484   -19.842            1 94995.373
 915      0.858693   -0.000205   -19.606            1 95109.888
 916      0.857988   -0.000705   -19.844            1 95229.092
 917      0.857756   -0.000232   -19.634            1 95342.981
 918      0.857358   -0.000398   -19.580            1 95461.039
 919      0.856728   -0.000630   -19.747            1 95579.969
 920      0.856423   -0.000305   -19.606            1 95694.999
 921      0.856249   -0.000174   -19.338            1 95812.782
 922      0.855620   -0.000628   -19.502            1 95936.127
 923      0.855397   -0.000224   -19.281            1 96055.587
 924      0.854983   -0.000414   -19.239            1 96179.656
 925      0.854625   -0.000358   -19.143            1 96304.381
 926      0.854174   -0.000451   -19.136            1 96430.978
 927      0.853843   -0.000331   -19.013            1 96557.470
 928      0.853409   -0.000434   -18.988            1 96686.474
 929      0.853310   -0.000099   -18.642            1 96815.787
 930      0.852732   -0.000578   -18.751            1 96952.880
 931      0.852416   -0.000316   -18.610            1 97087.179
 932      0.852128   -0.000288   -18.441            1 97224.547
 933      0.851894   -0.000233   -18.217            1 97365.710
 934      0.851289   -0.000605   -18.349            1 97512.036
 935      0.850774   -0.000515   -18.396            1 97655.003
 936      0.850055   -0.000719   -18.640            1 97796.614
 937      0.849360   -0.000695   -18.865            1 97932.040
 938      0.849072   -0.000288   -18.700            1 98061.690
 939      0.848234   -0.000838   -19.065            1 98195.049
 940      0.848154   -0.000081   -18.702            1 98319.090
 941      0.847750   -0.000403   -18.647            1 98451.748
 942      0.847371   -0.000379   -18.568            1 98585.451
 943      0.846993   -0.000378   -18.487            1 98720.811
 944      0.846682   -0.000311   -18.340            1 98857.890
 945      0.845850   -0.000832   -18.697            1 98998.403
 946      0.845740   -0.000110   -18.359            1 99129.407
 947      0.845502   -0.000238   -18.140            1 99268.800
 948      0.845068   -0.000434   -18.109            1 99413.594
 949      0.844455   -0.000613   -18.252            1 99558.905
 950      0.843927   -0.000528   -18.315            1 99700.121
 951      0.843735   -0.000192   -18.051            1 99839.314
 952      0.843321   -0.000413   -18.000            1 99985.243
 953      0.842315   -0.001006   -18.526            1 100132.237
 954      0.842155   -0.000160   -18.235            1 100264.562
 955      0.841361   -0.000793   -18.558            1 100404.406
 956      0.841083   -0.000278   -18.383            1 100534.956
 957      0.840957   -0.000126   -18.056            1 100669.874
 958      0.840475   -0.000483   -18.074            1 100813.478
 959      0.840176   -0.000298   -17.912            1 100956.178
 960      0.840026   -0.000150   -17.603            1 101103.066
 961      0.839227   -0.000799   -17.925            1 101258.447
 962      0.839018   -0.000209   -17.675            1 101404.171
 963      0.838843   -0.000175   -17.387            1 101556.771
 964      0.838605   -0.000238   -17.157            1 101717.470
 965      0.838082   -0.000523   -17.205            1 101884.700
 966      0.837127   -0.000955   -17.677            1 102050.244
 967      0.836969   -0.000159   -17.374            1 102201.262
 968      0.836505   -0.000463   -17.366            1 102361.030
 969      0.835928   -0.000577   -17.471            1 102520.673
 970      0.835503   -0.000425   -17.428            1 102676.710
 971      0.835124   -0.000379   -17.339            1 102833.663
 972      0.834994   -0.000131   -17.004            1 102992.984
 973      0.834758   -0.000236   -16.768            1 103162.455
 974      0.833682   -0.001076   -17.359            1 103339.128
 975      0.833103   -0.000578   -17.467            1 103496.590
 976      0.832659   -0.000444   -17.444            1 103650.118
 977      0.832060   -0.000599   -17.575            1 103803.868
 978      0.831849   -0.000211   -17.323            1 103952.862
 979      0.831217   -0.000632   -17.485            1 104109.518
 980      0.830870   -0.000347   -17.367            1 104260.296
 981      0.830367   -0.000503   -17.403            1 104414.415
 982      0.829557   -0.000810   -17.744            1 104566.775
 983      0.829509   -0.000048   -17.334            1 104707.081
 984      0.829136   -0.000372   -17.240            1 104860.553
 985      0.828654   -0.000482   -17.254            1 105016.633
 986      0.828360   -0.000294   -17.082            1 105171.616
 987      0.827921   -0.000439   -17.051            1 105331.986
 988      0.827296   -0.000625   -17.205            1 105492.850
 989      0.826962   -0.000334   -17.073            1 105647.659
 990      0.826817   -0.000145   -16.750            1 105806.520
 991      0.826185   -0.000632   -16.908            1 105976.367
 992      0.825645   -0.000539   -16.976            1 106139.906
 993      0.825372   -0.000274   -16.780            1 106300.322
 994      0.824697   -0.000675   -16.982            1 106467.277
 995      0.824267   -0.000430   -16.943            1 106626.098
 996      0.824150   -0.000117   -16.591            1 106785.646
 997      0.823831   -0.000319   -16.436            1 106957.764
 998      0.823117   -0.000714   -16.674            1 107135.197
 999      0.822772   -0.000345   -16.546            1 107302.876
1000      0.822267   -0.000505   -16.576            1 107474.799
1001      0.822052   -0.000216   -16.318            1 107644.847
1002      0.821953   -0.000098   -15.937            1 107824.389
1003      0.821158   -0.000795   -16.251            1 108018.515
1004      0.820880   -0.000279   -16.051            1 108199.471
1005      0.820456   -0.000424   -15.994            1 108387.885
1006      0.819933   -0.000523   -16.036            1 108578.036
1007      0.819151   -0.000781   -16.340            1 108765.817
1008      0.818975   -0.000177   -16.039            1 108940.324
1009      0.818599   -0.000376   -15.934            1 109126.636
1010      0.817991   -0.000608   -16.063            1 109316.686
1011      0.817775   -0.000216   -15.798            1 109500.562
1012      0.817172   -0.000602   -15.919            1 109695.097
1013      0.817007   -0.000166   -15.601            1 109883.670
1014      0.816343   -0.000663   -15.782            1 110085.476
1015      0.815751   -0.000592   -15.893            1 110278.627
1016      0.815160   -0.000591   -16.007            1 110466.037
1017      0.814732   -0.000428   -15.957            1 110647.521
1018      0.814574   -0.000158   -15.632            1 110830.355
1019      0.813765   -0.000809   -15.963            1 111027.130
1020      0.813568   -0.000197   -15.679            1 111207.829
1021      0.812905   -0.000663   -15.863            1 111400.769
1022      0.812497   -0.000408   -15.791            1 111584.174
1023      0.812290   -0.000208   -15.515            1 111769.957
1024      0.811442   -0.000848   -15.886            1 111967.960
1025      0.811157   -0.000285   -15.690            1 112147.158
1026      0.810600   -0.000556   -15.768            1 112334.734
1027      0.810010   -0.000591   -15.883            1 112517.422
1028      0.809737   -0.000273   -15.676            1 112693.317
1029      0.809166   -0.000570   -15.768            1 112878.306
1030      0.808981   -0.000185   -15.470            1 113057.466
1031      0.808670   -0.000311   -15.295            1 113250.544
1032      0.808513   -0.000158   -14.961            1 113451.524
1033      0.807737   -0.000776   -15.253            1 113668.906
1034      0.807267   -0.000470   -15.237            1 113869.962
1035      0.806676   -0.000591   -15.345            1 114070.733
1036      0.806447   -0.000229   -15.085            1 114264.529
1037      0.806293   -0.000154   -14.744            1 114471.132
